lat,lon,hour
40.7742,-73.9491,16
40.7356,-74.0031,13
40.7499,-73.974,20
40.7789,-73.9558,7
40.7255,-73.9971,15
40.7853,-73.9556,15
40.6799,-73.9971,22
40.7241,-73.9972,17
40.7281,-73.9522,22
40.758,-73.9714,14
40.7502,-73.9879,9
40.7183,-74.0037,13
40.7576,-73.9738,8
40.7555,-73.9836,18
40.7129,-73.9413,19
40.7705,-73.8653,7
40.7291,-74.007,15
40.7528,-73.9796,12
40.7842,-73.9541,7
40.7515,-74.0035,15
40.6467,-73.7904,22
40.7561,-73.9703,19
40.7293,-73.9721,18
40.7577,-73.9714,20
40.7263,-74.0056,1
40.7461,-73.98,18
40.7388,-74.0091,19
40.7254,-73.9875,8
40.7341,-74.0101,5
40.7234,-73.9886,9
40.7234,-74.0041,15
40.7531,-73.9889,14
40.7231,-74.006,15
40.7345,-74.0023,1
40.7213,-73.9815,18
40.7592,-73.9941,20
40.7564,-73.9672,6
40.7453,-73.9911,12
40.7596,-73.9758,20
40.7206,-73.995,7
40.6458,-73.7767,22
40.718,-74.0086,18
40.6992,-73.9554,13
40.7226,-74.0072,18
40.7417,-74.0038,4
40.7785,-73.9554,6
40.7218,-74.0036,6
40.7616,-73.9751,15
40.7278,-73.9532,10
40.7181,-74.0009,18
40.7501,-73.9834,16
40.6448,-73.7815,17
40.7269,-73.9835,13
40.6967,-73.9647,16
40.7644,-73.9958,6
40.7255,-74.004,22
40.8168,-73.9051,21
40.7241,-74.0001,22
40.7477,-74.0003,8
40.7708,-73.8657,14
40.8306,-73.9271,20
40.7219,-73.9578,20
40.7323,-73.9546,6
40.7271,-74.002,0
40.6926,-73.9718,22
40.7202,-73.9993,21
40.7394,-73.994,9
40.7056,-73.9375,6
40.6312,-73.9574,22
40.7549,-73.98,17
40.6928,-73.9917,18
40.7468,-73.9908,18
40.7626,-73.9883,19
40.7248,-73.9989,17
40.7481,-74.0073,16
40.748,-73.9849,13
40.7499,-73.975,14
40.7508,-73.9828,13
40.7509,-73.9745,20
40.7428,-73.9809,2
40.7648,-73.9244,12
40.7616,-73.9685,14
40.788,-73.9756,6
40.7405,-74.0064,11
40.7772,-73.9543,17
40.7704,-73.9482,12
40.7422,-73.9987,22
40.7172,-74.014,8
40.7627,-73.9742,16
40.7528,-73.9793,9
40.7547,-73.9838,21
40.7226,-74.0001,13
40.7173,-74.0085,22
40.7387,-73.994,16
40.783,-73.972,17
40.7441,-73.9916,1
40.7457,-73.9983,12
40.767,-73.9827,17
40.744,-73.984,8
40.7393,-73.9954,19
40.7472,-73.9932,17
40.7921,-73.9644,7
40.7765,-73.9565,19
40.7655,-73.8322,0
40.7742,-73.9651,11
40.73,-74.0037,6
40.7648,-73.9783,19
40.7475,-74.0044,16
40.7621,-73.9788,16
40.7871,-73.9758,6
40.7628,-73.9716,16
40.7083,-73.9491,4
40.7256,-73.9539,23
40.7338,-73.9882,19
40.6732,-73.9912,13
40.7305,-73.9832,18
40.7409,-73.9882,11
40.7946,-73.9762,7
40.7367,-74.0047,16
40.6758,-73.9297,6
40.7695,-73.8873,18
40.7277,-73.9893,23
40.7465,-73.9903,15
40.7402,-73.9791,18
40.7646,-73.9824,16
40.7644,-73.9689,17
40.6879,-73.9975,18
40.7376,-73.9902,16
40.7321,-73.9959,21
40.7202,-73.999,17
40.7641,-73.9954,8
40.7142,-73.9896,21
40.7274,-73.9922,21
40.7731,-73.9665,19
40.7548,-73.9645,16
40.7066,-74.0093,13
40.7109,-73.9518,9
40.7642,-73.9588,11
40.7759,-73.9611,11
40.774,-73.8722,13
40.7564,-73.9904,22
40.7118,-74.0083,9
40.7287,-74.2817,22
40.7603,-73.962,1
40.7099,-74.0131,10
40.7256,-73.9949,18
40.7676,-73.9841,9
40.7563,-73.9835,20
40.683,-73.9913,5
40.7355,-74.0036,5
40.7656,-73.963,20
40.7293,-73.9935,14
40.7478,-74.0279,9
40.7401,-74.0059,20
40.7264,-73.9919,12
40.6799,-73.9988,12
40.7613,-73.9701,17
